Komentar_Asli,Komentar_Labeling,Komentar_Bersih
"Baru kali ini dengerin bang david ngomong jawa ""PIRO"" ? Wkwk","Baru kali ini dengerin bang david ngomong jawa ""PIRO"" ? Wkwk",baru kali dengerin david ngomong jawa piro wkwk
mending ambil s apa seri tingginya A series ya🤔,mending ambil s apa seri tingginya A series ya🤔,mending ambil apa seri tinggi series
Mending S25 FE dong ya bang?,Mending S25 FE dong ya bang?,mending s25 fe dong
Bg .Poco x8 pro 5g vs Tecno comon 50 pro 5g  dong,Bg .Poco x8 pro 5g vs Tecno comon 50 pro 5g dong,bg poco x8 pro 5g vs tecno comon 50 pro 5g dong
A55 A56 belum bisa kebeli eh malah keluar lagi A57,A55 A56 belum bisa kebeli eh malah keluar lagi A57,a55 a56 belum kebel eh malah keluar lagi a57
"Liat samsung A56 dan A57 tu jd keinget jaman nokia 3310, 3315 dan 3330 pada masanya. Beda tipisss spesifikasinya. Apakaaah A57 bisa dibilang produk gagalnya samsung?","Liat samsung A56 dan A57 tu jd keinget jaman nokia 3310, 3315 dan 3330 pada masanya. Beda tipisss spesifikasinya. Apakaaah A57 bisa dibilang produk gagalnya samsung?",liat samsung a56 a57 tu jd keinget jaman nokia 3310 3315 3330 pada masa beda tipisss spesifikasi apakaaah a57 bilang produk gagal samsung
"Saya pake reno 14f ada dynamic island nya, Samsung ini ada gak?","Saya pake reno 14f ada dynamic island nya, Samsung ini ada gak?",pake reno 14f dynamic island samsung tidak
Nonton make a52s soon ganti ke s24 rencana nya,Nonton make a52s soon ganti ke s24 rencana nya,nonton make a52s soon ganti s24 rencana
Masih stanbay di samsung A54😅 dsyukurin aja😊,Masih stanbay di samsung A54😅 dsyukurin aja😊,masih stanbay samsung a54 dsyukurin
byeee mending ambil s24 second🧍‍♀️,byeee mending ambil s24 second🧍‍♀️,byeee mending ambil s24 second
masih setia make samsung s9+ walau layar retak dikit g ngaruh 😂,masih setia make samsung s9+ walau layar retak dikit g ngaruh 😂,masih setia make samsung s9 walau layar retak dikit ngaruh
"Samsung udah mentok inovasi, design monoton, performa busuk, kamera B aja.","Samsung udah mentok inovasi, design monoton, performa busuk, kamera B aja.",samsung mentok inovasi design monoton performa busuk kamera
Masih setia sama a52s 5g,Masih setia sama a52s 5g,masih setia sama a52s 5g
Android terbaik samsung,Android terbaik samsung,android baik samsung
"Masi pake samsung a51😂😂😂,ketinggalan gg sih? Alhamdulillah udh jatuh dijalan raya 2 kali masih aman. Cuma kabel casan aja bru ganti.","Masi pake samsung a51😂😂😂,ketinggalan gg sih? Alhamdulillah udh jatuh dijalan raya 2 kali masih aman. Cuma kabel casan aja bru ganti.",mas pake samsung a51 tinggal gg sih alhamdulillah jatuh jalan raya kali masih aman cuma kabel cas bru ganti
User a 71 masih stay 2026 😊,User a 71 masih stay 2026 😊,user 71 masih stay 2026
Blunder Samsung,Blunder Samsung,blunder samsung
saya masih Setia sama A 52 😂😂😂,saya masih Setia sama A 52 😂😂😂,masih setia sama 52
hp oppo bang,hp oppo bang,handphone oppo
Andai samsung ngasih performa seperti xiaomi pasti gmpng buat minang nya,Andai samsung ngasih performa seperti xiaomi pasti gmpng buat minang nya,andai samsung ngasih performa seperti xiaomi pasti gmpng buat mang
7 juta 256 di tahun 2026 kocak nih 🤏,7 juta 256 di tahun 2026 kocak nih 🤏,juta 256 tahun 2026 kocak nih
Favorit samsung seri A....,Favorit samsung seri A....,favorit samsung seri
Masih dengan A53...,Masih dengan A53...,masih a53
"tambah dikit dapet poco x8 pro max, sekarang lebih mentingin fungsi, daripada gengsi","tambah dikit dapet poco x8 pro max, sekarang lebih mentingin fungsi, daripada gengsi",tambah dikit dapet poco x8 pro max sekarang lebih mentingin fungsi daripada gengsi
Masih setia di a35 😢,Masih setia di a35 😢,masih setia a35
"Beli a56 di harga 4,9 aja udh ngos²an ah 😂","Beli a56 di harga 4,9 aja udh ngos²an ah 😂",beli a56 harga ngos an ah
Masih bertahan dengan s9+,Masih bertahan dengan s9+,masih tahan s9
"upgradeny maen aman brati ya,","upgradeny maen aman brati ya,",upgradeny maen aman brati
Di CP to,Di CP to,cp to
"aku masih setia dengan A50 sejak 2019
😅",aku masih setia dengan A50 sejak 2019 😅,aku masih setia a50 sejak 2019
Mending HP Poko sih,Mending HP Poko sih,mending handphone poko sih
"Alhamdulillah dari dulu pake realme ga ganti"",,yg membuat mahal itu gengsi ada yg pake iPhone lah pdhal menurut gue mah sama aja kaya hp biasa cuma yg membedakan GENGSI yg ingin terlihat WAAAAHH di temen dll","Alhamdulillah dari dulu pake realme ga ganti"",,yg membuat mahal itu gengsi ada yg pake iPhone lah pdhal menurut gue mah sama aja kaya hp biasa cuma yg membedakan GENGSI yg ingin terlihat WAAAAHH di temen dll",alhamdulillah dulu pake realme tidak ganti buat mahal gengsi pake iphone lah pdhal turut gue mah sama kaya handphone biasa cuma beda gengsi ingin lihat waaaahh temen dll
"David bilang batere 5500mah biasa2 aja. Tapi ternyata setelah saya pakai merasa OK banget. Buat saya yang ganti hp 5tahun an, sebelumnya A52, kerasa banget sih bedanya. Kayanya buat kaum yang pakai hape untuk kebutuhan kerja OK banget sih. Coba buat mid range juga dikasih stylus biar lebih enak buat pekerja kya saya macam jaman note 5. Foto terus coret2 sketch difoto, kirim ke bawahan. Kalo stylus kasih di flagship buat pekerja kaya saya berasa kelebihan.","David bilang batere 5500mah biasa2 aja. Tapi ternyata setelah saya pakai merasa OK banget. Buat saya yang ganti hp 5tahun an, sebelumnya A52, kerasa banget sih bedanya. Kayanya buat kaum yang pakai hape untuk kebutuhan kerja OK banget sih. Coba buat mid range juga dikasih stylus biar lebih enak buat pekerja kya saya macam jaman note 5. Foto terus coret2 sketch difoto, kirim ke bawahan. Kalo stylus kasih di flagship buat pekerja kaya saya berasa kelebihan.",david bilang batere 5500mah biasa2 nyata telah pakai rasa ok banget buat ganti handphone 5tahun an belum a52 rasa banget sih beda kaya buat kaum pakai hape butuh kerja ok banget sih coba buat mid range juga kasih stylus lebih enak buat kerja kya macam jaman note foto terus coret2 sketch foto kirim bawah stylus kasih flagship buat kerja kaya asa lebih
"Sya pakai A55, update hp nnti ketika sudah A60, atau ketika sdah bisa di gunakan....","Sya pakai A55, update hp nnti ketika sudah A60, atau ketika sdah bisa di gunakan....",sya pakai a55 update handphone nnti ketika a60 ketika sdah guna
hujat lah aku dah beli A57 😂😂😂 ok lah dari pada pakai brand china..atau pakai ip bekas😂😂 inter pula,hujat lah aku dah beli A57 😂😂😂 ok lah dari pada pakai brand china..atau pakai ip bekas😂😂 inter pula,hujat lah aku dah beli a57 ok lah pada pakai brand china pakai ip bekas inter pula
"Kangen hp ku Samsung yang s25 ilang dicolong sama motor nya😢
Sekarang lagi pake moto g86, semoga bisa kebeli flagship Samsung lagi","Kangen hp ku Samsung yang s25 ilang dicolong sama motor nya😢 Sekarang lagi pake moto g86, semoga bisa kebeli flagship Samsung lagi",kangen handphone ku samsung s25 ilang colong sama motor sekarang lagi pake moto g86 moga kebel flagship samsung lagi
Saking dikit upgradenya kerasnya sekecil itu 😂,Saking dikit upgradenya kerasnya sekecil itu 😂,saking dikit upgradenya keras kecil
"Just bought it for my mom yesterday, Ice Blue color. Keren sih ni hp","Just bought it for my mom yesterday, Ice Blue color. Keren sih ni hp",just bought it for my mom yesterday ice blue color bagus sih ni handphone
"Gede banget kertas daftar upgradenya, terlalu banyak ya😅","Gede banget kertas daftar upgradenya, terlalu banyak ya😅",gede banget kertas daftar upgradenya terlalu banyak
Nonton ini pake A52s 😭,Nonton ini pake A52s 😭,nonton pake a52s
"Nonton review ini masih pake A50 ku yg ku beli dulu tahun 2019 keknya 😅, meski A50 ku cm jd hp cadangan buat nomor indo tp sampe skrg msh gacor lu. Skrg udah A57 aja, mau nungguin A59 deh nantinya","Nonton review ini masih pake A50 ku yg ku beli dulu tahun 2019 keknya 😅, meski A50 ku cm jd hp cadangan buat nomor indo tp sampe skrg msh gacor lu. Skrg udah A57 aja, mau nungguin A59 deh nantinya",nonton review masih pake a50 ku ku beli dulu tahun 2019 kek meski a50 ku cm jd handphone cadang buat nomor indo sampe skrg msh gacor lu skrg a57 mau nungguin a59 deh nanti
User A54 nonton ....,User A54 nonton ....,user a54 nonton
ohh exynoss itu lagi...,ohh exynoss itu lagi...,ohh exynoss lagi
Nonton ini pake S25Fe 😂,Nonton ini pake S25Fe 😂,nonton pake s25fe
"Oke sy gak akan niat beli 😂😂 
Berhubung gak jauh beda dngn A56",Oke sy gak akan niat beli 😂😂 Berhubung gak jauh beda dngn A56,oke sy tidak akan niat beli hubung tidak jauh beda dngn a56
Ampe ngantuk2 liat kontennya  david nerangin samsung yang spek nya nyantai🥱🥱,Ampe ngantuk2 liat kontennya david nerangin samsung yang spek nya nyantai🥱🥱,ampe ngantuk2 liat konten david nerangin samsung spesifikasi nyantai
Bang rekomendasi proyektor mini dong di bawah 1jutaan,Bang rekomendasi proyektor mini dong di bawah 1jutaan,rekomendasi proyektor mini dong bawah 1jutaan
bang saran laptop dong buat gw calon mahasiswa teknik budget 5-10jtan,bang saran laptop dong buat gw calon mahasiswa teknik budget 5-10jtan,saran laptop dong buat gw calon mahasiswa teknik budget 10jtan
"Terimaksih bang setelah nonton ini gw mutusin mending beli s24 ultra aj,meskipun flagship 2 tahun lalu tapi ttep flagship","Terimaksih bang setelah nonton ini gw mutusin mending beli s24 ultra aj,meskipun flagship 2 tahun lalu tapi ttep flagship",terimaksih telah nonton gw mutusin mending beli s24 ultra aj meski flagship tahun lalu ttep flagship
Yg baru beli A 56 hadir,Yg baru beli A 56 hadir,baru beli 56 hadir
Monggo kaum mendang mending..langsung saja ke s24-25fe saja😂,Monggo kaum mendang mending..langsung saja ke s24-25fe saja😂,monggo kaum dang mending langsung s24 25fe
2026 masih pake S20 fe snap😴,2026 masih pake S20 fe snap😴,2026 masih pake s20 fe snap
"Saya masih pake A51 yg beli th 2020, sampai sekarang alhamdulillah masih ok","Saya masih pake A51 yg beli th 2020, sampai sekarang alhamdulillah masih ok",masih pake a51 beli th 2020 sampai sekarang alhamdulillah masih ok
bang unboxing oppo find x9 ultra bang🙏🙏pilsss,bang unboxing oppo find x9 ultra bang🙏🙏pilsss,unboxing oppo find x9 ultra pilsss
Masih setia dgn A24,Masih setia dgn A24,masih setia dgn a24
"Bang, tolong buatin list rekomendasi tab (bukan ipad) yang cocok untuk main game kayak pubg gitu dong, dari yang paling murah - paling mahal, terima kasih 🙏","Bang, tolong buatin list rekomendasi tab (bukan ipad) yang cocok untuk main game kayak pubg gitu dong, dari yang paling murah - paling mahal, terima kasih 🙏",tolong buatin list rekomendasi tab bukan ipad cocok main game kayak pubg gitu dong paling murah paling mahal terima kasih
Komen nonton youtube pake hp ketiga samsung a51 pemakaian hampir 6 tahun masih bagus kecuali baterai. Rencana mau upgrade samsung a5x series terbaru kalo udah matot buat jadi second hp bareng iphone.,Komen nonton youtube pake hp ketiga samsung a51 pemakaian hampir 6 tahun masih bagus kecuali baterai. Rencana mau upgrade samsung a5x series terbaru kalo udah matot buat jadi second hp bareng iphone.,komen nonton youtube pake handphone tiga samsung a51 pakai hampir tahun masih bagus kecuali baterai rencana mau upgrade samsung a5x series baru matot buat jadi second handphone bareng iphone
Setelah liat ini jadi makin sayang sama X7PRO yang kebeli tahun lalu😂,Setelah liat ini jadi makin sayang sama X7PRO yang kebeli tahun lalu😂,telah liat jadi makin sayang sama x7pro kebel tahun lalu
cung siapa yang masih pake A50 wkwkwk,cung siapa yang masih pake A50 wkwkwk,cung siapa masih pake a50 wkwkwk
"bg tolong rekomendasi hp samsung budged under 8 Jtan, klk yg A56 bagus gk ya ada yg punya rekomendasi kah","bg tolong rekomendasi hp samsung budged under 8 Jtan, klk yg A56 bagus gk ya ada yg punya rekomendasi kah",bg tolong rekomendasi handphone samsung budged under jtan klk a56 bagus tidak punya rekomendasi kah
Malah gagal fokus harga kartu mainan bocil setara sama harga nmax 😂,Malah gagal fokus harga kartu mainan bocil setara sama harga nmax 😂,malah gagal fokus harga kartu main bocil tara sama harga nmax
Masih setia pakai poco m3 beli dari 2021 sampai sekarang nyaman2 aja,Masih setia pakai poco m3 beli dari 2021 sampai sekarang nyaman2 aja,masih setia pakai poco m3 beli 2021 sampai sekarang nyaman2
"Saya masih pakai C9pro dari tahun 2017 😂, mau ganti HP tapi kok mager, selain gaptek, males banget setting ini itu biar seperti HP sebelumnya.","Saya masih pakai C9pro dari tahun 2017 😂, mau ganti HP tapi kok mager, selain gaptek, males banget setting ini itu biar seperti HP sebelumnya.",masih pakai c9pro tahun 2017 mau ganti handphone kok mager selain gaptek males banget setting seperti handphone belum
punya A10s tetep dapet update sistem sampai sekarang,punya A10s tetep dapet update sistem sampai sekarang,punya a10s tetep dapet update sistem sampai sekarang
"Ada yang belum dibahas, samsung a57 sekarang video malam hari lebih bagus fps nya ga ngeblur kayak a56 dan sekarang samsung A57 udah bisa pakai Galaxy AI yang dipake di seri S seperti object eraser yang lebih mulus . Itu improvement yang cukup signifikan.","Ada yang belum dibahas, samsung a57 sekarang video malam hari lebih bagus fps nya ga ngeblur kayak a56 dan sekarang samsung A57 udah bisa pakai Galaxy AI yang dipake di seri S seperti object eraser yang lebih mulus . Itu improvement yang cukup signifikan.",belum bahas samsung a57 sekarang video malam hari lebih bagus fps tidak ngeblur kayak a56 sekarang samsung a57 pakai galaxy ai dipake seri seperti object eraser lebih mulus improvement cukup signifikan
Harga yang....,Harga yang....,harga
Samsung hp gembel bentar lagy mau bangkrut akan muncul Nokia come back,Samsung hp gembel bentar lagy mau bangkrut akan muncul Nokia come back,samsung handphone gembel bentar lagy mau bangkrut akan muncul nokia come back
Bang coba infinix smart 20 mirip ip 17,Bang coba infinix smart 20 mirip ip 17,coba infinix smart 20 mirip ip 17
bang rekomendasi hp 3 jutaan bang,bang rekomendasi hp 3 jutaan bang,rekomendasi handphone juta
"Halo Bang, coba infnix note 50 pro+ 5G yg katanya bener-bener baru aja keluar 1 April kemarin kalo ga salah","Halo Bang, coba infnix note 50 pro+ 5G yg katanya bener-bener baru aja keluar 1 April kemarin kalo ga salah",halo coba infnix note 50 pro 5g kata bener bener baru keluar april kemarin tidak salah
review oppo find x9 ultra bang,review oppo find x9 ultra bang,review oppo find x9 ultra
Bg review Vivo x300pro,Bg review Vivo x300pro,bg review vivo x300pro
Intinya A57 kurenk Worhtit klo di liat spek n harga segitu dah itu aja.,Intinya A57 kurenk Worhtit klo di liat spek n harga segitu dah itu aja.,inti a57 kurenk worhtit klo liat spesifikasi harga segitu dah
"Samsung a series sih ga akan seperti dulu lg worth nya semenjak mereka keluarkan series a1 dan a2.. otomatis a3 dan a5 harganya bakal jauh diatas ""pantas"", kemahalan yg ada..","Samsung a series sih ga akan seperti dulu lg worth nya semenjak mereka keluarkan series a1 dan a2.. otomatis a3 dan a5 harganya bakal jauh diatas ""pantas"", kemahalan yg ada..",samsung series sih tidak akan seperti dulu lg worth semenjak keluar series a1 a2 otomatis a3 a5 harga bakal jauh atas pantas mahal
"Lama nggak nonton, tambah rame terus dan tambah kerenn 😂 hebat banget bang dafit","Lama nggak nonton, tambah rame terus dan tambah kerenn 😂 hebat banget bang dafit",lama tidak nonton tambah rame terus tambah kerenn hebat banget dafit
"Masih setia sama A55, yg pas beli masih 5 jt an, sekarang udah 6.8 jt an 😂","Masih setia sama A55, yg pas beli masih 5 jt an, sekarang udah 6.8 jt an 😂",masih setia sama a55 pas beli masih jt an sekarang jt an
Lagi nonton pakek Samsung A56 😌,Lagi nonton pakek Samsung A56 😌,lagi nonton pakek samsung a56
"Intinya kalau saya mau beli HP SAMSUNG yg baru saya selalu nonton konten si abang dulu biar jelas, dan saya tidak salah ambil keputusan, thank you brother selalu kasih review terbagus😊 🙏","Intinya kalau saya mau beli HP SAMSUNG yg baru saya selalu nonton konten si abang dulu biar jelas, dan saya tidak salah ambil keputusan, thank you brother selalu kasih review terbagus😊 🙏",inti mau beli handphone samsung baru selalu nonton konten si abang dulu jelas tidak salah ambil putus thank you brother selalu kasih review bagus
Gw nonton make samsung a58 5g,Gw nonton make samsung a58 5g,gw nonton make samsung a58 5g
"Masih pakai A55
Masih nyaman",Masih pakai A55 Masih nyaman,masih pakai a55 masih nyaman
"Bang, tolong review a57 vs vivi v70 please..","Bang, tolong review a57 vs vivi v70 please..",tolong review a57 vs vivi v70 please
saamsul kompor peforma lemah,saamsul kompor peforma lemah,saamsul kompor forma lemah
Bjir baru beli tdi siang A57 dapet di harga 8jt🗿,Bjir baru beli tdi siang A57 dapet di harga 8jt🗿,bjir baru beli tdi siang a57 dapet harga 8jt
Infinix gt50 pro bang,Infinix gt50 pro bang,infinix gt50 pro
"bang tolong buat video perbandingan hp nubia V80 max sama Tecno spark 40 pro+ bang
soalnya bingung mau beli yang mana🙏🏻🙏🏻🙏🏻",bang tolong buat video perbandingan hp nubia V80 max sama Tecno spark 40 pro+ bang soalnya bingung mau beli yang mana🙏🏻🙏🏻🙏🏻,tolong buat video banding handphone nubia v80 max sama tecno spark 40 pro soal bingung mau beli mana
Tecno camon 50 pro bang!!!,Tecno camon 50 pro bang!!!,tecno camon 50 pro
"Bang David, review Infinix GT 50 Pro!! 
sekalian kasih list tier untuk Coolers Wireless charging terbaik, kalau bisa yg bisa unlock mode Draco Infinix GT.","Bang David, review Infinix GT 50 Pro!! sekalian kasih list tier untuk Coolers Wireless charging terbaik, kalau bisa yg bisa unlock mode Draco Infinix GT.",david review infinix gt 50 pro sekali kasih list tier coolers wireless charging baik unlock mode draco infinix gt
Aduuhhh sy tonton vidio ini yg msih menggunakan samsung A50😢,Aduuhhh sy tonton vidio ini yg msih menggunakan samsung A50😢,aduuhhh sy tonton vidio msih guna samsung a50
"Langsung aja bang Tecno common 50pro dong , mau angkut 40pro udh naik banget harganya 😢","Langsung aja bang Tecno common 50pro dong , mau angkut 40pro udh naik banget harganya 😢",langsung tecno common 50pro dong mau angkut 40pro naik banget harga
Bg review titan 2 elite dong😂,Bg review titan 2 elite dong😂,bg review titan elite dong
SEKELAS A57 CUMA 5000Mah. HARUS NYA MAH UDAH 6000Mah.  Baru sesuai harga.,SEKELAS A57 CUMA 5000Mah. HARUS NYA MAH UDAH 6000Mah. Baru sesuai harga.,kelas a57 cuma 5000mah harus mah 6000mah baru sesuai harga
COBA BANDINGIN DONG MAS DENGAN MERK LAIN.  BIAR GAK MONOLOG REV.....,COBA BANDINGIN DONG MAS DENGAN MERK LAIN. BIAR GAK MONOLOG REV.....,coba bandingin dong mas merk lain tidak monolog rev
ngmpulin org2 yg msh pake A54 🤙🏻,ngmpulin org2 yg msh pake A54 🤙🏻,ngmpulin org2 msh pake a54
Samsung spek biasa mem 256 harga selangit,Samsung spek biasa mem 256 harga selangit,samsung spesifikasi biasa mem 256 harga langit
harga 7 juta mending beli iphone bang nambah dikit.. kamera samsung B aja gk ada spesial2 nya di harga 7 jutaan,harga 7 juta mending beli iphone bang nambah dikit.. kamera samsung B aja gk ada spesial2 nya di harga 7 jutaan,harga juta mending beli iphone nambah dikit kamera samsung tidak spesial2 harga juta
Bang david review headset IEM dongg,Bang david review headset IEM dongg,david review headset iem dongg
Bang dapit coba infinixe note 60 ultra😊,Bang dapit coba infinixe note 60 ultra😊,dapit coba infinixe note 60 ultra
"Nonton video ini pake A52, dan sampe sekarang masih enak banget dipake.. bismillah mau upgrade ke A56","Nonton video ini pake A52, dan sampe sekarang masih enak banget dipake.. bismillah mau upgrade ke A56",nonton video pake a52 sampe sekarang masih enak banget dipake bismillah mau upgrade a56
"Suka Galaxy A5... series, tapi pas beli lensa macro nya jarang dipake, bahkan ga kepake. Kalau bisa ilangin aja biar bisa potong budget","Suka Galaxy A5... series, tapi pas beli lensa macro nya jarang dipake, bahkan ga kepake. Kalau bisa ilangin aja biar bisa potong budget",suka galaxy a5 series pas beli lensa macro jarang dipake bahkan tidak kepake ilangin potong budget
"User samsung a10s dari tahun 2020 sampe skrg alhamdulillah masih aman 🙌  udh sering jatuh/kebanting juga, tapi gk sampe gimana2, masih nyala.. Paling error itu sistemnya, karena 4/32 dipake sm org yg hobi foto2 + video 🤣🤣, lemot parah","User samsung a10s dari tahun 2020 sampe skrg alhamdulillah masih aman 🙌 udh sering jatuh/kebanting juga, tapi gk sampe gimana2, masih nyala.. Paling error itu sistemnya, karena 4/32 dipake sm org yg hobi foto2 + video 🤣🤣, lemot parah",user samsung a10s tahun 2020 sampe skrg alhamdulillah masih aman sering jatuh banting juga tidak sampe gimana2 masih nyala paling error sistem karena 32 dipake sama org hobi foto2 video lot parah
"Untung tidak jual Samsung Galaxy A55 5G 🤣, rugi beli Samsung Galaxy A57 5G. Harga jual tidak sebanding nilai yg di dapat.","Untung tidak jual Samsung Galaxy A55 5G 🤣, rugi beli Samsung Galaxy A57 5G. Harga jual tidak sebanding nilai yg di dapat.",untung tidak jual samsung galaxy a55 5g rugi beli samsung galaxy a57 5g harga jual tidak banding nilai dapat
Makin makin ya Samsung😅,Makin makin ya Samsung😅,makin makin samsung
a52s masih idaman,a52s masih idaman,a52s masih idam
Request Infinix note 60 ultra,Request Infinix note 60 ultra,request infinix note 60 ultra
Masih setia pake A35❤,Masih setia pake A35❤,masih setia pake a35
"Dari Dulu emng ga tertarik sama hp ini, terlalu mahal namun ga sesuai😂","Dari Dulu emng ga tertarik sama hp ini, terlalu mahal namun ga sesuai😂",dulu emng tidak tarik sama handphone terlalu mahal namun tidak sesuai
Masih setia dengan samsung A55☺️,Masih setia dengan samsung A55☺️,masih setia samsung a55
Itu kalo hp bisa di masukin ke air tuh lobang charger nya nanti bermasalah ha sih,Itu kalo hp bisa di masukin ke air tuh lobang charger nya nanti bermasalah ha sih,handphone masukin air tuh lobang charger nanti masalah ha sih
Barusan lewat samsung mau beli tapi kata salesman nya nanti aja nunggu A60 katanya upgrade nya lumayan jauh...😂,Barusan lewat samsung mau beli tapi kata salesman nya nanti aja nunggu A60 katanya upgrade nya lumayan jauh...😂,barusan lewat samsung mau beli kata salesman nanti nunggu a60 kata upgrade lumayan jauh
guys budget 10jt mending ambil xiaomi 15t pro atau ambil second sm s23 ultra atau ada rekomen lain,guys budget 10jt mending ambil xiaomi 15t pro atau ambil second sm s23 ultra atau ada rekomen lain,guys budget 10jt mending ambil xiaomi 15t pro ambil second sama s23 ultra rekomen lain
"Jadi males beli samsung lagi soalnya after sales nya jelek, saya punya samsung a73 5g kena green line gak bisa di servis,  dari sc nya mereka bilang udah gada stock trus skrg hape nya harus saya apaain kalo gak bisa di service like are you deadass bro","Jadi males beli samsung lagi soalnya after sales nya jelek, saya punya samsung a73 5g kena green line gak bisa di servis, dari sc nya mereka bilang udah gada stock trus skrg hape nya harus saya apaain kalo gak bisa di service like are you deadass bro",jadi males beli samsung lagi soal after sales jelek punya samsung a73 5g kena green line tidak servis sc bilang gada stock trus skrg hape harus apaain tidak service like are you deadass bro
Mending S25FE,Mending S25FE,mending s25fe
"jadi bang saya butuh saran, menurut Abang mending beli Samsung A56 atau A57, bingung saya soalnya apa mending beli S25/S24 FE","jadi bang saya butuh saran, menurut Abang mending beli Samsung A56 atau A57, bingung saya soalnya apa mending beli S25/S24 FE",jadi butuh saran turut abang mending beli samsung a56 a57 bingung soal apa mending beli s25 s24 fe
Tecno camon 50 pro bahas,Tecno camon 50 pro bahas,tecno camon 50 pro bahas
"malesnya pindah ke samsung tuh perkara exynosnya yang ""bapuk"" banget sih kalau di compare hp yang sekelas. Mungkin ga semua orang gila game, tapi siapa yang gak mau main emel setidaknya bisa stabil di 120 fps? hp 3-4 jutaan aja udah pada bisa ngasih kestabilan peforma yang lebih baik","malesnya pindah ke samsung tuh perkara exynosnya yang ""bapuk"" banget sih kalau di compare hp yang sekelas. Mungkin ga semua orang gila game, tapi siapa yang gak mau main emel setidaknya bisa stabil di 120 fps? hp 3-4 jutaan aja udah pada bisa ngasih kestabilan peforma yang lebih baik",malesnya pindah samsung tuh perkara exynosnya bapuk banget sih compare handphone kelas mungkin tidak semua orang gila game siapa tidak mau main emel tidak stabil 120 fps handphone juta pada ngasih stabil forma lebih baik
Masih rame a55 kmarin 😁,Masih rame a55 kmarin 😁,masih rame a55 kmarin
Apa kabar infinix GT 50 pro ?,Apa kabar infinix GT 50 pro ?,apa kabar infinix gt 50 pro
Harga second A52s brp bang ?,Harga second A52s brp bang ?,harga second a52s brp
minimal 512 GB lah,minimal 512 GB lah,minimal 512 gb lah
Mirip sony,Mirip sony,mirip sony
Rivew poco F8 pro bang,Rivew poco F8 pro bang,rivew poco f8 pro
"Kemarin 4.4 dpt harga 6,8jt yg 12/256gb. Jujur hp nya lebih tipis dan lebih ringan. Sama kamera jauh agak mending dibanding A56 terutama foto selfienya","Kemarin 4.4 dpt harga 6,8jt yg 12/256gb. Jujur hp nya lebih tipis dan lebih ringan. Sama kamera jauh agak mending dibanding A56 terutama foto selfienya",kemarin dapat harga 8jt 12 256gb jujur handphone lebih tipis lebih ringan sama kamera jauh agak mending banding a56 utama foto selfienya
Camon 50 pro kapan bang .. Nungguin nii😊😊,Camon 50 pro kapan bang .. Nungguin nii😊😊,camon 50 pro kapan nungguin nii
coba slot nya seperti a55 bisa pky slot sd,coba slot nya seperti a55 bisa pky slot sd,coba slot seperti a55 pky slot sd
"1:36 seri A di Samsung ga banyak upgrade dikarenakan kalo harga seri fe turun, orang bakal jadiin 2 hp itu sebagai opsi, kalo upgradenya banyak orang ga akan ambil seri fe","1:36 seri A di Samsung ga banyak upgrade dikarenakan kalo harga seri fe turun, orang bakal jadiin 2 hp itu sebagai opsi, kalo upgradenya banyak orang ga akan ambil seri fe",36 seri samsung tidak banyak upgrade karena harga seri fe turun orang bakal jadiin handphone bagai opsi upgradenya banyak orang tidak akan ambil seri fe
7 bulan baru pakai a56 😁,7 bulan baru pakai a56 😁,bulan baru pakai a56
nonton elit ganti sulit,nonton elit ganti sulit,nonton elit ganti sulit
review laptop redmegic blaze 16 pro bang,review laptop redmegic blaze 16 pro bang,review laptop redmegic blaze 16 pro
masih pakai A55,masih pakai A55,masih pakai a55
Skip banget sih buat versi yg ini,Skip banget sih buat versi yg ini,skip banget sih buat versi
Beli a56 ketika a57 dah keluar gegara ngerasa lbh worth it a56 karena selisih harga nya jauh tp beda nya tipis hehhehe,Beli a56 ketika a57 dah keluar gegara ngerasa lbh worth it a56 karena selisih harga nya jauh tp beda nya tipis hehhehe,beli a56 ketika a57 dah keluar gegara ngerasa lbh bagus a56 karena selisih harga jauh beda tipis hehhehe
Samsung lemah di sinyal,Samsung lemah di sinyal,samsung lemah sinyal
Masih pake A54 nii wkwkwk masih enak2 aja cuman pr batrenya udh boross😂,Masih pake A54 nii wkwkwk masih enak2 aja cuman pr batrenya udh boross😂,masih pake a54 nii wkwkwk masih enak2 cuman pr batrenya boross
Prosesor exynos... Langsung skip 😂,Prosesor exynos... Langsung skip 😂,prosesor exynos langsung skip
Infinix note 60 promax bang,Infinix note 60 promax bang,infinix note 60 promax
Mentoknya di a54 kayaknya 😂,Mentoknya di a54 kayaknya 😂,mentok a54 kayak
Bang bahas Infinix GT50 pro dong,Bang bahas Infinix GT50 pro dong,bahas infinix gt50 pro dong
bang review infinix note 60 ultra dong,bang review infinix note 60 ultra dong,review infinix note 60 ultra dong
Nonton pake A50 (tanpa S) 😅,Nonton pake A50 (tanpa S) 😅,nonton pake a50 tanpa
"aku beli A52 karena rekomendasi bang david,,udah 5 tahun dipake masih oke banget sampe sekarang,,,","aku beli A52 karena rekomendasi bang david,,udah 5 tahun dipake masih oke banget sampe sekarang,,,",aku beli a52 karena rekomendasi david tahun dipake masih oke banget sampe sekarang
