Komentar_Asli,Komentar_Labeling,Komentar_Bersih,Sentimen,Confidence_Score,Panjang_Karakter,Jumlah_Kata
Samsung apa kak dulu yg ngegas nya kenceng dan masih wangi,Samsung apa kak dulu yg ngegas nya kenceng dan masih wangi,samsung apa kak dulu ngegas kenceng masih wangi,Positif,58.25,58,11
Guys a57 varian 12/256 dengan harga 7.6jt dapet free galaxy buds core worth it nggak ya?,Guys a57 varian 12/256 dengan harga 7.6jt dapet free galaxy buds core worth it nggak ya?,guys a57 varian 12 256 harga 6jt dapet free galaxy buds core bagus tidak,Positif,68.67,88,16
"Saya dulu sekeluarga suka dan pakai samsung. Dari hp keypad, Young, Ace, J7 Prime, A5 2017, A50, A70, A71, S21 FE, S22. Makin ke sini makin merasa kok samsung jadi mahal banget ya dibanding merek lain. Dengan harga yg sama brand lain terasa punya nilai lebih. Sekarang sedikit demi sedikit beralih ke brand lain. Bahkan kalau ada orang yg minta saran selalu saya arahkan ke brand lain. Ya soalnya percuma samsung juga banyak resiko. Harganya mahal, spek kalah, service centre mata duitan, apa2 harus inden. Sekarang di keluarga saya sudah ada yg pakai redmi note 10s, redmi 11, xiaomi 11T, vivo Y series, vivo T1, vivo X80, vivo X100, dan Iphone15","Saya dulu sekeluarga suka dan pakai samsung. Dari hp keypad, Young, Ace, J7 Prime, A5 2017, A50, A70, A71, S21 FE, S22. Makin ke sini makin merasa kok samsung jadi mahal banget ya dibanding merek lain. Dengan harga yg sama brand lain terasa punya nilai lebih. Sekarang sedikit demi sedikit beralih ke brand lain. Bahkan kalau ada orang yg minta saran selalu saya arahkan ke brand lain. Ya soalnya percuma samsung juga banyak resiko. Harganya mahal, spek kalah, service centre mata duitan, apa2 harus inden. Sekarang di keluarga saya sudah ada yg pakai redmi note 10s, redmi 11, xiaomi 11T, vivo Y series, vivo T1, vivo X80, vivo X100, dan Iphone15",dulu keluarga suka pakai samsung handphone keypad young ace j7 prime a5 2017 a50 a70 a71 s21 fe s22 makin sini makin rasa kok samsung jadi mahal banget banding merek lain harga sama brand lain asa punya nilai lebih sekarang sedikit demi sedikit alih brand lain bahkan orang minta saran selalu arah brand lain soal percuma samsung juga banyak resiko harga mahal spesifikasi kalah service centre mata duit apa2 harus inden sekarang keluarga pakai redmi note 10s redmi 11 xiaomi 11t vivo series vivo t1 vivo x80 vivo x100 iphone15,Negatif,53.25,647,111
Skip tidak sesuai harga😂,Skip tidak sesuai harga😂,skip tidak sesuai harga,Negatif,99.86,24,4
"Kali ini samsung ngelawak,btw saya jg pake samsung,a55 udh mau 2 thun","Kali ini samsung ngelawak,btw saya jg pake samsung,a55 udh mau 2 thun",kali samsung ngelawak btw juga pake samsung a55 mau thun,Negatif,66.32,69,12
masih setia di 15T dengan harga segitu,masih setia di 15T dengan harga segitu,masih setia 15t harga segitu,Positif,99.05,38,7
"Samsung itu gak ribet,simpel","Samsung itu gak ribet,simpel",samsung tidak ribet simpel,Positif,98.35,28,4
Nonton pakai a56😂,Nonton pakai a56😂,nonton pakai a56,Netral,53.55,17,3
"Alasan kenapa banyak pengguna pilih hp ini karena samsung itu sudah punya brand sejak lama. Orang orang pun ngga segan segan langsung ambil hp model ini walaupun harganya udah mahal banget. Berbanding terbalik dengan merk sebelah meskipun mereka ada model yang menyerupai ke A57 juga, mereka itu bisa dibilang masih pemain baru dan brand image-nya terkenal dengan hp low budget, hal ini juga yang buat org pada mikir dan gengsi buat ambil seri high end merk sebelah.","Alasan kenapa banyak pengguna pilih hp ini karena samsung itu sudah punya brand sejak lama. Orang orang pun ngga segan segan langsung ambil hp model ini walaupun harganya udah mahal banget. Berbanding terbalik dengan merk sebelah meskipun mereka ada model yang menyerupai ke A57 juga, mereka itu bisa dibilang masih pemain baru dan brand image-nya terkenal dengan hp low budget, hal ini juga yang buat org pada mikir dan gengsi buat ambil seri high end merk sebelah.",alas kenapa banyak guna pilih handphone karena samsung punya brand sejak lama orang orang pun ngga segan segan langsung ambil handphone model walaupun harga mahal banget banding balik merk belah meski model rupa a57 juga bilang masih main baru brand image kenal handphone low budget hal juga buat org pada mikir gengsi buat ambil seri high end merk belah,Positif,51.69,466,77
Nonton pake A54😂,Nonton pake A54😂,nonton pake a54,Netral,48.33,16,3
"saya make A50s dari taun 2020an juga masih oke bang cuma karna internalnya yg kecil & hp udh melengkung jd gak bisa make NFC, akhirnya taun kemaren beli S24FE dievent PRJ kena diharga ±9jtan dapet yg 8/512 .","saya make A50s dari taun 2020an juga masih oke bang cuma karna internalnya yg kecil & hp udh melengkung jd gak bisa make NFC, akhirnya taun kemaren beli S24FE dievent PRJ kena diharga ±9jtan dapet yg 8/512 .",make a50s taun 2020an juga masih oke cuma karna internal kecil handphone lengkung jd tidak make nfc akhir taun kemaren beli s24fe dievent prj kena harga 9jtan dapet 512,Positif,56.3,207,38
Bang bagi wallpaper nya donk link nya,Bang bagi wallpaper nya donk link nya,bagi wallpaper donk link,Netral,77.5,37,7
"Nunggu2 review Camon 50 pro blm ada juga nih bang, apa gak rekomended itu hp 😂","Nunggu2 review Camon 50 pro blm ada juga nih bang, apa gak rekomended itu hp 😂",nunggu2 review camon 50 pro blm juga nih apa tidak rekomended handphone,Negatif,93.15,78,16
"nnton pake redmi 9..
OMG 😂",nnton pake redmi 9.. OMG 😂,nnton pake redmi omg,Negatif,81.16,26,6
masih menonton dengan s24 fe :V,masih menonton dengan s24 fe :V,masih tonton s24 fe,Netral,97.66,31,6
Coba poconm7pro,Coba poconm7pro,coba poconm7pro,Negatif,73.82,15,2
user A71 nyimak dulu,user A71 nyimak dulu,user a71 nyimak dulu,Netral,93.98,20,4
A57 gak ada upgrade signifikan dari A56. Modul kameranya pun masih sama persis sejak A55 dgn kamera utamanya pake sensor Sony IMX906,A57 gak ada upgrade signifikan dari A56. Modul kameranya pun masih sama persis sejak A55 dgn kamera utamanya pake sensor Sony IMX906,a57 tidak upgrade signifikan a56 modul kamera pun masih sama persis sejak a55 dgn kamera utama pake sensor sony imx906,Positif,54.41,132,22
"gw suka Samsung karena pelayanan service center-nya enak, dan juga sebenernya hp Samsung A51 gw ini juga masih gw pake sejak 2019/2020. tapi sejak 2023 gw beli hp Xiaomi 12 Lite, Samsung A51 ini jadi hp khusus aja dan bukan daily driver. Samsung A51 gw belum pernah di servis dan masih aman aja, hanya saja performa untuk main game yg menurun, lalu respon dan loading melambat. sedangkan Xiaomi 12 Lite gw udah 3x di servis, yg padahal baru beli Maret 2023, baterai pun rasanya boros yg padahal udah ganti di service center resminya. gw juga gk pernah pake hp saat nge-charge, apalagi main game sambil di charge baterainya. itulah kenapa setelah beli hp selain Samsung (sebelum pake Samsung A51, gw pernah pake Infinix Zero 5 dan Vivo yg gw lupa seri apa), gw jadi pengen balik lagi ke Samsung kalau udah gk betah pake Xiaomi 12 Lite, cuman kok harganya makin gk masuk akal karena mungkin mereka jadi merasa di atas angin.","gw suka Samsung karena pelayanan service center-nya enak, dan juga sebenernya hp Samsung A51 gw ini juga masih gw pake sejak 2019/2020. tapi sejak 2023 gw beli hp Xiaomi 12 Lite, Samsung A51 ini jadi hp khusus aja dan bukan daily driver. Samsung A51 gw belum pernah di servis dan masih aman aja, hanya saja performa untuk main game yg menurun, lalu respon dan loading melambat. sedangkan Xiaomi 12 Lite gw udah 3x di servis, yg padahal baru beli Maret 2023, baterai pun rasanya boros yg padahal udah ganti di service center resminya. gw juga gk pernah pake hp saat nge-charge, apalagi main game sambil di charge baterainya. itulah kenapa setelah beli hp selain Samsung (sebelum pake Samsung A51, gw pernah pake Infinix Zero 5 dan Vivo yg gw lupa seri apa), gw jadi pengen balik lagi ke Samsung kalau udah gk betah pake Xiaomi 12 Lite, cuman kok harganya makin gk masuk akal karena mungkin mereka jadi merasa di atas angin.",gw suka samsung karena layan service center enak juga sebenernya handphone samsung a51 gw juga masih gw pake sejak 2019 2020 sejak 2023 gw beli handphone xiaomi 12 lite samsung a51 jadi handphone khusus bukan daily driver samsung a51 gw belum pernah servis masih aman hanya performa main game turun lalu respon loading lambat sedang xiaomi 12 lite gw 3x servis padahal baru beli maret 2023 baterai pun rasa boros padahal ganti service center resmi gw juga tidak pernah pake handphone saat nge charge apalagi main game sambil charge baterai itu kenapa telah beli handphone selain samsung belum pake samsung a51 gw pernah pake infinix zero vivo gw lupa seri apa gw jadi ken balik lagi samsung tidak betah pake xiaomi 12 lite cuman kok harga makin tidak masuk akal karena mungkin jadi rasa atas angin,Negatif,86.75,922,162
Review nubia v80 max,Review nubia v80 max,review nubia v80 max,Netral,97.73,20,4
"Jujur gua yang tadinya mau beli a57 jadi minder,emg apa yg di bicarakan bang gadgetin ini fikz sih..gak jauh dari a56..jadi mau ke  sebelah aja dulu..sekian lama pake samsung😢pas ada harganya😮","Jujur gua yang tadinya mau beli a57 jadi minder,emg apa yg di bicarakan bang gadgetin ini fikz sih..gak jauh dari a56..jadi mau ke sebelah aja dulu..sekian lama pake samsung😢pas ada harganya😮",jujur gua tadi mau beli a57 jadi minder emg apa bicara gadgetin fikz sih tidak jauh a56 jadi mau belah dulu sekian lama pake samsung pas harga,Negatif,96.5,192,31
Masih bertahan di samsung S24 Fe,Masih bertahan di samsung S24 Fe,masih tahan samsung s24 fe,Netral,93.45,32,6
Msh nyaman pake a34,Msh nyaman pake a34,msh nyaman pake a34,Positif,96.06,19,4
Pakai A 23 sejak bulan 4 2022 upgrade ponsel karena mau nyobain 5G. Biasanya upgrade ponsel klo ada perubahan teknologi yg signifikan sih.,Pakai A 23 sejak bulan 4 2022 upgrade ponsel karena mau nyobain 5G. Biasanya upgrade ponsel klo ada perubahan teknologi yg signifikan sih.,pakai 23 sejak bulan 2022 upgrade ponsel karena mau nyobain 5g biasa upgrade ponsel klo ubah teknologi signifikan sih,Netral,42.3,138,23
harga hampir 8 juta masih pake exynos skip dulu BHAHA,harga hampir 8 juta masih pake exynos skip dulu BHAHA,harga hampir juta masih pake exynos skip dulu bhaha,Negatif,70.27,53,10
Mending ipon,Mending ipon,mending ipon,Negatif,89.68,12,2
"yah terakhir kecintaan samsung pas a54 sampe sekarang masih pake, harga wajar 6jt-an, sekarang kok 7jt ke atas 🤣 klo gini mah ya jelas berpaling ke batre yg lebih ganas lah 🤣","yah terakhir kecintaan samsung pas a54 sampe sekarang masih pake, harga wajar 6jt-an, sekarang kok 7jt ke atas 🤣 klo gini mah ya jelas berpaling ke batre yg lebih ganas lah 🤣",yah akhir cinta samsung pas a54 sampe sekarang masih pake harga wajar 6jt an sekarang kok 7jt atas klo gin mah jelas paling batre lebih ganas lah,Negatif,74.74,174,32
A56 User: Hopefully A58 nanti lebih revolusioner yah... 😅,A56 User: Hopefully A58 nanti lebih revolusioner yah... 😅,a56 user hopefully a58 nanti lebih revolusioner yah,Negatif,68.7,57,9
Rencana mau upgrade dari a54 ke a57 seperti sekarang harus pindah ke brand lain. Jujur agak kecewa sama a54 karena performanya jelek banget setelah update ke Android terbaru ini hp sudah ngos2an. Berharap update prosesor a57 bakal bagus eh ternyata sama aja underperform dibanding kompetitor,Rencana mau upgrade dari a54 ke a57 seperti sekarang harus pindah ke brand lain. Jujur agak kecewa sama a54 karena performanya jelek banget setelah update ke Android terbaru ini hp sudah ngos2an. Berharap update prosesor a57 bakal bagus eh ternyata sama aja underperform dibanding kompetitor,rencana mau upgrade a54 a57 seperti sekarang harus pindah brand lain jujur agak kecewa sama a54 karena performa jelek banget telah update android baru handphone ngos2an harap update prosesor a57 bakal bagus eh nyata sama underperform banding kompetitor,Negatif,99.91,291,45
"Samsung terlalu nyaman, aku juga nyaman😂
Alhamdulillah komen ini pake A57. dan ya, sesuai kata bang David, harus dapet harga murah biar worth it. Dapet varian 12/256 dapet di harga 7.5, mayan ya😂","Samsung terlalu nyaman, aku juga nyaman😂 Alhamdulillah komen ini pake A57. dan ya, sesuai kata bang David, harus dapet harga murah biar worth it. Dapet varian 12/256 dapet di harga 7.5, mayan ya😂",samsung terlalu nyaman aku juga nyaman alhamdulillah komen pake a57 sesuai kata david harus dapet harga murah bagus dapet varian 12 256 dapet harga mayan,Positif,99.39,195,33
kapan review camon 50 series vang,kapan review camon 50 series vang,kapan review camon 50 series vang,Netral,99.34,33,6
"masih pake a54, udah mau 3 tahun jalan dan masih nyaman (walopun batrenya jadi agak bocor).. beli sesuai kebutuhan dan kemampuan aja ya gaes..","masih pake a54, udah mau 3 tahun jalan dan masih nyaman (walopun batrenya jadi agak bocor).. beli sesuai kebutuhan dan kemampuan aja ya gaes..",masih pake a54 mau tahun jalan masih nyaman walopun batrenya jadi agak bocor beli sesuai butuh mampu gaes,Positif,96.66,142,24
Nonton pKe A52S 5G 😂😂,Nonton pKe A52S 5G 😂😂,nonton pke a52s 5g,Netral,85.34,21,5
review kingfinix gt 50 pro bg dapit😁,review kingfinix gt 50 pro bg dapit😁,review kingfinix gt 50 pro bg dapit,Netral,74.49,36,7
Segono mending s25 fe,Segono mending s25 fe,segono mending s25 fe,Negatif,91.85,21,4
"tetep ada yang beli, termasuk saya","tetep ada yang beli, termasuk saya",tetep beli masuk,Negatif,45.06,34,6
Samsung masalahnya di colokan. Katanya tahan air... giliran hp gw yg gk pernah kecelup air ada notifikasi usb basah. Gk jls banget,Samsung masalahnya di colokan. Katanya tahan air... giliran hp gw yg gk pernah kecelup air ada notifikasi usb basah. Gk jls banget,samsung masalah colok kata tahan air gilir handphone gw tidak pernah celup air notifikasi usb basah tidak jls banget,Negatif,96.19,130,22
"Gue pengguna samsung a33 semalam baru beli a57 dan Brasa bgt Bedanya. Kebetulan gw beli di samsung storenya langsung utk 8/256 dapet harga 7,599k cash back 500k & harus belanjakan produk. Hp A57 + Galaxy Fit Jadi gue bayar 7,7 Lebihan lah. Klo penggunan a55 a56 ke a57 mah gak brasa upgrade nya. Tpi klo sblmnya pengguna seri di bawahnya ya worth it bgt lah..","Gue pengguna samsung a33 semalam baru beli a57 dan Brasa bgt Bedanya. Kebetulan gw beli di samsung storenya langsung utk 8/256 dapet harga 7,599k cash back 500k & harus belanjakan produk. Hp A57 + Galaxy Fit Jadi gue bayar 7,7 Lebihan lah. Klo penggunan a55 a56 ke a57 mah gak brasa upgrade nya. Tpi klo sblmnya pengguna seri di bawahnya ya worth it bgt lah..",gue guna samsung a33 malam baru beli a57 brasa banget beda betul gw beli samsung storenya langsung utk 256 dapet harga 599k cash back 500k harus belanja produk handphone a57 galaxy fit jadi gue bayar lebih lah klo gun a55 a56 a57 mah tidak brasa upgrade tpi klo sblmnya guna seri bawah bagus banget lah,Positif,93.43,359,65
A51 hadir,A51 hadir,a51 hadir,Netral,99.15,9,2
"Sebagai user samsung A series dari A5 2015, A5 2017, A50 dan sekarang A55 entah mengapa jadi pengen nyobain brand² lain kaya vivo/oppo 😄","Sebagai user samsung A series dari A5 2015, A5 2017, A50 dan sekarang A55 entah mengapa jadi pengen nyobain brand² lain kaya vivo/oppo 😄",bagai user samsung series a5 2015 a5 2017 a50 sekarang a55 entah mengapa jadi ken nyobain brand lain kaya vivo oppo,Positif,88.8,136,24
Msh pke a51 sma a32 haha,Msh pke a51 sma a32 haha,msh pke a51 sma a32 haha,Netral,98.62,24,6
"kami yg nonton pakai S25FE mengucapkan:
fufufufufu 😌😌😌😌",kami yg nonton pakai S25FE mengucapkan: fufufufufu 😌😌😌😌,kami nonton pakai s25fe ucap fufufufufu,Netral,80.61,55,8
User a52s nyimak aje,User a52s nyimak aje,user a52s nyimak aje,Negatif,96.67,20,4
Better dripada oddo Reno 15f si ini walau sesama over price😂😂 udh bener harga sgtu ambil Poco/honor/ iqoo,Better dripada oddo Reno 15f si ini walau sesama over price😂😂 udh bener harga sgtu ambil Poco/honor/ iqoo,better dripada oddo reno 15f si walau sama over price bener harga sgtu ambil poco honor iqoo,Negatif,64.63,105,18
"Assalamualaikum,bang itu hape yg dah buka segel di jual2 gak bang?","Assalamualaikum,bang itu hape yg dah buka segel di jual2 gak bang?",assalamualaikum hape dah buka segel jual2 tidak,Netral,49.51,66,11
Kenapa Samsung yang seri A 70 sampai A73 saja?,Kenapa Samsung yang seri A 70 sampai A73 saja?,kenapa samsung seri 70 sampai a73,Negatif,98.4,46,9
"Masi pake A50, udah 7 aja","Masi pake A50, udah 7 aja",mas pake a50,Netral,67.73,25,6
"Jadi kangen samsung 4,9jt kemaren😢","Jadi kangen samsung 4,9jt kemaren😢",jadi kangen samsung 9jt kemaren,Negatif,62.19,34,5
Masi setia ma samsung A13😂😂😂 emg  senyaman itu punya Ip tpi g pernah q pake cuma buat tiktokan doank..klo samsung kek udah jdi separuh jiwaku😂😂😂,Masi setia ma samsung A13😂😂😂 emg senyaman itu punya Ip tpi g pernah q pake cuma buat tiktokan doank..klo samsung kek udah jdi separuh jiwaku😂😂😂,mas setia ma samsung a13 emg nyaman punya ip tpi pernah pake cuma buat tiktokan doank klo samsung kek jdi paruh jiwa,Positif,96.71,144,25
infinix gt 50 pro bg udah ad tu bcoran di myanmar,infinix gt 50 pro bg udah ad tu bcoran di myanmar,infinix gt 50 pro bg ad tu bcoran myanmar,Netral,99.77,49,11
Stop bang stop 🤪,Stop bang stop 🤪,stop stop,Negatif,97.89,16,4
"Masih A52s sejak Januari 2022 dan sepertinya masih bisa dipake sampe 2 tahun ke depan, hehe 😅","Masih A52s sejak Januari 2022 dan sepertinya masih bisa dipake sampe 2 tahun ke depan, hehe 😅",masih a52s sejak januari 2022 seperti masih dipake sampe tahun depan hehe,Positif,56.24,93,17
Nonton di samsung A54,Nonton di samsung A54,nonton samsung a54,Netral,99.36,21,4
Gua ngak suka pakai Samsung ini hp sekarang Infinix saya kasih ke mamaku Samsung a07 karena dia bisa di hack om.saya tau tentang elektronik tentang per hack hack kan makanya saya kasi ke mamaku Samsung a07,Gua ngak suka pakai Samsung ini hp sekarang Infinix saya kasih ke mamaku Samsung a07 karena dia bisa di hack om.saya tau tentang elektronik tentang per hack hack kan makanya saya kasi ke mamaku Samsung a07,gua ngak suka pakai samsung handphone sekarang infinix kasih mama samsung a07 karena dia hack om tau tentang elektronik tentang per hack hack kan makanya kasi mama samsung a07,Negatif,95.91,205,36
KA Samsung galaxy 26 dong,KA Samsung galaxy 26 dong,ka samsung galaxy 26 dong,Netral,99.61,25,5
Ditabung aja belikan tanah kavling atau sawah buat investasi hidup,Ditabung aja belikan tanah kavling atau sawah buat investasi hidup,tabung belikan tanah kavling sawah buat investasi hidup,Netral,97.04,66,10
"malah lebih mahal kartu pokemon (Rp.30.000.000) dari pada harga hp samsung nya
 wkwkwk",malah lebih mahal kartu pokemon (Rp.30.000.000) dari pada harga hp samsung nya wkwkwk,malah lebih mahal kartu pokemon rp 30 000 000 pada harga handphone samsung wkwkwk,Negatif,99.12,86,13
"7 JUTA 8/256? DI TAHUN 2026? HAHAHAHAHAH
BATERAI MASIH 5000 MAH? AHHAHAHHAHAHHA

Makan tu si paling samsung. Budget segitu kok maksa",7 JUTA 8/256? DI TAHUN 2026? HAHAHAHAHAH BATERAI MASIH 5000 MAH? AHHAHAHHAHAHHA Makan tu si paling samsung. Budget segitu kok maksa,juta 256 tahun 2026 hahahahahah baterai masih 5000 mah ahhahahhahahha makan tu si paling samsung budget segitu kok maksa,Negatif,93.67,132,21
nonton pake samsung A8,nonton pake samsung A8,nonton pake samsung a8,Netral,98.86,22,4
itu kamera gitu2 mulu modelnya,itu kamera gitu2 mulu modelnya,kamera gitu2 mulu model,Negatif,99.89,30,5
"David, Coba Review Samsung A55 A56 A57 Diantara Ketiga Selisih Berapa %","David, Coba Review Samsung A55 A56 A57 Diantara Ketiga Selisih Berapa %",david coba review samsung a55 a56 a57 antara tiga selisih berapa,Netral,45.54,71,12
"Saya terakhir pakai produk Samsung ditahun 2018 yaitu A8
Knp saya berpaling k brand lain? Karena saya mengutamakan kinerja, menurut saya Samsung terlalu over Price mungkin faktor salahsatu nya karena update OS nya yg harus bayar pajak lebih k pihak Google.","Saya terakhir pakai produk Samsung ditahun 2018 yaitu A8 Knp saya berpaling k brand lain? Karena saya mengutamakan kinerja, menurut saya Samsung terlalu over Price mungkin faktor salahsatu nya karena update OS nya yg harus bayar pajak lebih k pihak Google.",akhir pakai produk samsung tahun 2018 yaitu a8 knp paling brand lain karena utama kerja turut samsung terlalu over price mungkin faktor salahsatu karena update os harus bayar pajak lebih pihak google,Negatif,84.71,256,41
Bang apa ada jual juga di toko oren?,Bang apa ada jual juga di toko oren?,apa jual juga toko oren,Negatif,57.09,36,8
Samsung tertinggal bateri masih lagi 5000mah brand lain sudah 6500-9000mah,Samsung tertinggal bateri masih lagi 5000mah brand lain sudah 6500-9000mah,samsung tinggal bateri masih lagi 5000mah brand lain 6500 9000mah,Negatif,97.13,74,10
"Mending iqoo 15R aja sih, antutu 3jt, menang brand doang","Mending iqoo 15R aja sih, antutu 3jt, menang brand doang",mending iqoo 15r sih antutu 3jt menang brand doang,Negatif,99.09,56,10
A55🫱🏻‍🫲🏼,A55🫱🏻‍🫲🏼,a55,Netral,47.63,8,1
aku yg nonton pake samsung glxy A50 😂,aku yg nonton pake samsung glxy A50 😂,aku nonton pake samsung glxy a50,Netral,99.39,37,8
"Beda 1 lubang di bawah, bikin dari ip 67 jadi ip 68? HAHAHAHAHA","Beda 1 lubang di bawah, bikin dari ip 67 jadi ip 68? HAHAHAHAHA",beda lubang bawah bikin ip 67 jadi ip 68 hahahahaha,Negatif,99.05,63,13
"Dan aneh nya , pasti laris #1 ga tergantikan. Aneh emg samsung 😅","Dan aneh nya , pasti laris #1 ga tergantikan. Aneh emg samsung 😅",aneh pasti laris tidak ganti aneh emg samsung,Negatif,94.75,64,13
Kebanting sama Poco wkwk,Kebanting sama Poco wkwk,banting sama poco wkwk,Positif,50.5,24,4
Seri a kameranya gada peningkatan dengan jiter nya,Seri a kameranya gada peningkatan dengan jiter nya,seri kamera gada tingkat jiter,Netral,66.92,50,8
Udah terlalu jatuh cinta sama samsung dari jaman samsung galaxy young 🔥🔥🔥,Udah terlalu jatuh cinta sama samsung dari jaman samsung galaxy young 🔥🔥🔥,terlalu jatuh cinta sama samsung jaman samsung galaxy young,Negatif,80.76,73,12
Hp midrange harga ga ngotak 😂,Hp midrange harga ga ngotak 😂,handphone midrange harga tidak ngotak,Negatif,97.98,29,6
"Hp Tecno camon 50 pro kapan bang? Lagi bingung antara mau poco x8 pro max atau tecno camon 50 pro bang, review Tecno camon 50 pro dong bang🙏","Hp Tecno camon 50 pro kapan bang? Lagi bingung antara mau poco x8 pro max atau tecno camon 50 pro bang, review Tecno camon 50 pro dong bang🙏",handphone tecno camon 50 pro kapan lagi bingung antara mau poco x8 pro max tecno camon 50 pro review tecno camon 50 pro dong,Netral,37.79,140,28
Apa tu yg spesial dan GK ada lawan sampe wangi pula🙇🤔,Apa tu yg spesial dan GK ada lawan sampe wangi pula🙇🤔,apa tu spesial tidak lawan sampe wangi pula,Negatif,48.42,53,11
Piro bg😅,Piro bg😅,piro bg,Negatif,92.4,8,2
"Emang rada bosen liat Samsung sekarang bg
Kali ini kayaknya mau hijrah ke motorola bg.
Nungguin hp terbarunya motorola nanti masuk",Emang rada bosen liat Samsung sekarang bg Kali ini kayaknya mau hijrah ke motorola bg. Nungguin hp terbarunya motorola nanti masuk,emang rada bosen liat samsung sekarang bg kali kayak mau hijrah motorola bg nungguin handphone baru motorola nanti masuk,Negatif,62.64,130,21
Nunggu A60 hadir baru beli sekalian ganti setelah A54 habis masa updatenya 🤣,Nunggu A60 hadir baru beli sekalian ganti setelah A54 habis masa updatenya 🤣,nunggu a60 hadir baru beli sekali ganti telah a54 habis masa updatenya,Netral,98.68,76,13
Alhamdulilah kesampaian s24fe 8/512 🎉,Alhamdulilah kesampaian s24fe 8/512 🎉,alhamdulilah sampai s24fe 512,Positif,45.02,37,5
"Buat yang nanya, aku pakai yang ini dan cocok banget”","Buat yang nanya, aku pakai yang ini dan cocok banget”",buat nanya aku pakai cocok banget,Positif,86.58,53,10
"Kalau dibanding versi sebelumnya, upgrade paling kerasa justru di bagian ini, bukan yang disebut di video.”","Kalau dibanding versi sebelumnya, upgrade paling kerasa justru di bagian ini, bukan yang disebut di video.”",banding versi belum upgrade paling rasa justru bagi bukan sebut video,Positif,70.72,107,16
Tamparan buat samsung ni riview,Tamparan buat samsung ni riview,tampar buat samsung ni riview,Netral,77.26,31,5
Gara gara nonton video ini upgrade hp dari samsung a52s ke a56 aja soalnya beda tipis sama a57... awalnya mau ambil a57 tapi lebih worth it a56 kayaknya,Gara gara nonton video ini upgrade hp dari samsung a52s ke a56 aja soalnya beda tipis sama a57... awalnya mau ambil a57 tapi lebih worth it a56 kayaknya,gara gara nonton video upgrade handphone samsung a52s a56 soal beda tipis sama a57 awal mau ambil a57 lebih bagus a56 kayak,Negatif,73.33,152,28
"Dari samsung a56 kalau dulu internal 512 gb dan ram 12 gb auto beli , samsung pelit ke internal sih . Mank ny ku pilih hp poco","Dari samsung a56 kalau dulu internal 512 gb dan ram 12 gb auto beli , samsung pelit ke internal sih . Mank ny ku pilih hp poco",samsung a56 dulu internal 512 gb ram 12 gb auto beli samsung pelit internal sih mank ny ku pilih handphone poco,Negatif,99.34,126,27
"Setuju, biar bangun lagi ngegas lg kaya dulu","Setuju, biar bangun lagi ngegas lg kaya dulu",tuju bangun lagi ngegas lg kaya dulu,Negatif,89.62,44,8
"Bang David, coba review hp gw, Vivo y1s dan untuk tahun 2021 sebagus apa","Bang David, coba review hp gw, Vivo y1s dan untuk tahun 2021 sebagus apa",david coba review handphone gw vivo y1s tahun 2021 bagus apa,Negatif,45.33,72,14
"Mending a55 sekaligus s25FE, aq dari A54 update ke a56 Sampek ke a57 bedanya  hanya cover body aja isinya sama😂 apa gunanya pabrik buat baru kalo charger batrei camera blm di update","Mending a55 sekaligus s25FE, aq dari A54 update ke a56 Sampek ke a57 bedanya hanya cover body aja isinya sama😂 apa gunanya pabrik buat baru kalo charger batrei camera blm di update",mending a55 sekaligus s25fe aq a54 update a56 sampek a57 beda hanya cover body isi sama apa guna pabrik buat baru charger batrei camera blm update,Negatif,94.21,181,32
Bang hp tecno canon 50 pro 5g bang,Bang hp tecno canon 50 pro 5g bang,handphone tecno canon 50 pro 5g,Netral,82.32,34,8
"A56,5 ini 🫠","A56,5 ini 🫠",a56,Netral,67.13,11,3
User A26 ❤,User A26 ❤,user a26,Negatif,55.08,10,3
"Samsung memang jos, bos kita pecinta samsung malu kalau harus pindah ke opo, vivo, rel me antah apalah namanya,","Samsung memang jos, bos kita pecinta samsung malu kalau harus pindah ke opo, vivo, rel me antah apalah namanya,",samsung memang jos bos cinta samsung malu harus pindah opo vivo rel me antah apa nama,Negatif,99.07,111,19
Bang dibanding xiaomi 15T pilih mana bang?,Bang dibanding xiaomi 15T pilih mana bang?,banding xiaomi 15t pilih mana,Negatif,80.09,42,7
"Pesaing Samsung A57 di harga 8 jutaan :
- Vivo V70
- Oppo Reno15
- Xiaomi POCO F8 Pro
- Galaxy S25 FE
- Realme 16 Pro+",Pesaing Samsung A57 di harga 8 jutaan : - Vivo V70 - Oppo Reno15 - Xiaomi POCO F8 Pro - Galaxy S25 FE - Realme 16 Pro+,saing samsung a57 harga juta vivo v70 oppo reno15 xiaomi poco f8 pro galaxy s25 fe realme 16 pro,Netral,99.15,118,27
kenpa sih ga pernah bahas fitur penangkap signal dari sim card hp samsung,kenpa sih ga pernah bahas fitur penangkap signal dari sim card hp samsung,kenpa sih tidak pernah bahas fitur tangkap signal sim card handphone samsung,Negatif,77.72,73,13
"Sampe skrg msh pake samsung a52, Alhamdulillah kualitas msh bagus, msh sangat layak di pake","Sampe skrg msh pake samsung a52, Alhamdulillah kualitas msh bagus, msh sangat layak di pake",sampe skrg msh pake samsung a52 alhamdulillah kualitas msh bagus msh sangat layak pake,Positif,98.46,91,15
